,company_name,job_summary,job_title,City,State
101,"Greystone & Co., Inc.","Assist on our data science efforts, mostly via pandas and SciPy. We are Greystone Labs, an innovation team and lender composed of underwriters, software…",Back End Engineer,New York, NY
102,JP Morgan Chase,"Familiarity with basic data table operations (SQL, Hive, etc.). Ability to develop and debug in Python, Java, C or C++. Proficient in git version control.",CIB Machine Learning Center of Excellence - Applied AI/ML Director,New York, NY
103,Refinitiv,"Ability to track down complex data quality and data integration issues, evaluate different algorithmic approaches, and analyse data to solve problems.","Product Manager, Machine Learning Analytics",New York, NY
104,JP Morgan Chase,"Strong programing skills and data analysis proficiency, such as Python (numpy/pandas/scikit-learn), R, Java, C++, Scala, SQL, Matlab.",Asset & Wealth Management – Intelligent Digital Solutions – Data Science and Machine Learning Team – Vice President/ Executive Director,New York, NY
105,General Assembly,"We are looking for a Data Scientist to teach our full-time class: Expertise in SQL, Python, and related Python libraries (pandas, numpy).",Local Lead Data Science Immersive Instructor,New York, NY
106,EXL,"Excellent Python (numpy, pandas, scikit-learn, etc.). Create algorithms to extract information from large data sets. 2+ Years of Industry Experience.","Senior Analytics Consultant, Decision Analytics (Deep Learning)",New York, NY
107,Beeswax,"Experience with data warehouses such as Snowflake, Redshift or Presto and data processing platforms such as Spark. We were recently recognized on the Inc.",Lead Machine Learning Engineer,New York, NY
108,JP Morgan Chase,"Familiarity with basic data table operations (SQL, Hive, etc.). Ability to develop and debug in Python, Java, C or C++. Proficient in git version control.",CIB Machine Learning Center of Excellence - Applied AI/ML Lead,New York, NY
109,Storm Global Analytics,"Excellent Python (numpy, pandas, scikit-learn, etc.). Create algorithms to extract information from large data sets. Deep Learning Senior Analytics Consultant.",Deep Learning Senior Analytics Consultant,New York, NY
110,Protiviti,"Must at least be proficient with Python Scientific suite (NumPy, SciPy, Matplotlib and Pandas). Proven Data manipulation skill is required.",New York Technology Consulting Machine Learning Experienced Consultant,New York, NY
111,PwC,"Python (Numpy, Pandas, etc.), Spark, cloud-based solutions such as GCP DataFlow; We work with a variety of data mediums including text, audio, imagery, sensory,…",AI Data Scientist / Data Engineer,New York, NY
112,Disney Streaming Services,"Knowledge of the Python data ecosystem using pandas and numpy. Familiar with metadata management, data lineage, and principles of data governance.",Sr. Data Engineer,New York, NY
113,G-Research,"Demonstrable proficiency in statistical data analysis and data visualisation. Advanced knowledge of Python and PySpark, in particular packages such as Pandas,…",Data Science Internship,New York, NY
114,Jobot,"Excellent Python (numpy, pandas, scikit-learn, etc.). If you are a Data Scientist, then please read on…. We collect data about applicants through our cloud…","Data Scientist - Python, R, SQL",New York, NY
115,JobRobin,"Data preparation, processing and augmentation. Experience using scikit learn, pandas. Automation of data processing for production environment.",Data Scientist,New York, NY
