,company_name,job_summary,job_title,City,State
24,Integral Health,As a Data Scientist at Integral you will work on cutting edge analytical problems that arise from an extremely diverse set of biotech data - including…,Senior Data Scientist,Boston, MA
25,Sabre,"Partner with other Labs and Research team members, data scientists, research scientist, operations research scientists, data architects and product managers to…",Sabre Labs & Product Strategy Intern,Boston, MA
26,Integral Health,"As a Principle Data Scientist, NLP at Integral you will work on cutting edge analytical problems that arise from an extremely diverse set of biotech data -…","Principal Data Scientist, Natural Language Processing",Boston, MA
27,Klaviyo,Our data science team is analyzing large data sets (we’re collecting billions of individual actions every month) and building products that enable our customers…,Machine Learning Engineer,Boston, MA
28,Edlitera,"Our Data Science courses give students the skills they need to launch new careers in analytics and data science, or to leverage data in their current jobs.",Data Science Instructor,Boston, MA
29,Philips,"Signal processing, machine learning (including deep learning) and data mining for physiological patient data (e.g., airway pressure, flow, esophageal pressure).",Senior Respiratory Care Scientist,Cambridge, MA
30,Rapid7,"Experienced with AWS data processing and transformation services. You will help design, plan, and implement data analysis tools and systems with peers in small…",Data Engineer II,Boston, MA
31,Bose,"Specific tasks may include algorithm development, data mining and data visualization. Experience analyzing noisy time series such as biosensor data, EEG, IMU…",Machine Learning Co-op,Boston, MA
32,Synopsys,Building ML models leveraging feature engineering and current big data and relational data stores. Strong aptitudes in data structures and algorithms.,"Machine Learning, Software Engineer",Burlington, MA
33,MassMutual,This role is ideal for a business professional looking to expand their data management and technical skills or an experienced business data analyst or data…,Business Analytics Consultant,Boston, MA
34,Qtron Investments,"You will work with portfolio managers to identify timely and unique data sets, dive deep into a diverse set of data domains, visualize and explore underlying…",Quantitative Programmer,Boston, MA
35,Integral Health,"Work with data scientists, researchers, product teams, and other domain experts to build highly scalable engineering solutions to complex data-oriented problems…",Principal Machine Learning Engineer,Boston, MA
36,MassMutual,This role is ideal for a business professional looking to expand their data management and technical skills or an experienced business data analyst or data…,Business Analytics Consultant,Boston, MA
37,Digital Alloys,Experience with time series data and signal processing. Prior experience with visualization and presenting of complex data.,Senior Data Software Engineer,Burlington, MA
38,Integral Health,"Work with data scientists, researchers, product teams, and other domain experts to build highly scalable engineering solutions to complex data-oriented problems…",Senior Machine Learning Engineer,Boston, MA
39,McKinsey & Company,Environmental Impact – We designed and built the first data-driven application for a state of the art centre of excellence in urban innovation by collecting…,Senior Machine Learning Engineer - QuantumBlack,Boston, MA
40,Indigo,Partner with a data scientist/operations research scientist to productionize a predictive model prototype within 120 days. Statistics/ML expertise a plus.,Senior Python API Engineer,Boston, MA
41,Boston Consulting Group,"We “open the doors“ to data for our clients giving them fast and trusted options to search, frame, and share data. For more information, please visit bcg.com.","GAMMA - Associate Director, Machine Learning Engineering",Boston, MA
42,General Assembly,"You have at least 6 months of professional data science experience. A deep understanding of statistical hypothesis testing and experimental design, data…",Local Lead Data Science Immersive Instructor,Boston, MA
43,Indigo,Partner with a data scientist/operations research scientist to productionize a predictive model prototype within 120 days. Statistics/ML expertise a plus.,"Senior Software Engineer, Data Science Engineering",Boston, MA
44,DataRobot,"Good command of scientific Python toolkit (numpy, scipy, pandas, scikit-learn). Core Modeling owns the entire data science backend for DataRobot, and is…","Senior Machine Learning Engineer, Core Modeling",Boston, MA
