,company_name,job_summary,job_title,City,State
53,ViaSat,"Experience in data cleansing, statistics/machine learning, and data visualization packages (i.e.Programming expertise in Python, R, MATLAB, or other Data…",Industrial Engineer University Grad - Data Scientist,Carlsbad, CA
54,Facebook,"5+ years of data mining/analytics experience.Plan, and be able to conduct as needed, end-to-end analyses, from data requirement gathering, to data processing…","Data Scientist, Analytics - New Product Experimentation",Menlo Park, CA
55,Blume Global,"Familiarity with technical tools for data analysis - Python (with Pandas, etc.), R, SQL.Experience with manipulating complex data sources and very large-scale…",Associate Data Scientist,Pleasanton, CA
56,Uber,"Familiarity with technical tools for analysis - Python (with Pandas, etc.), R, SQL, etc.;To solve these problems, data scientists leverage unique data sources…",2020 PhD University Graduate - Data Scientist - Uber Eats (San Francisco),San Francisco, CA
57,Sony Pictures Entertainment Inc.,"Programming – Expertise with SQL data models (logical, physical, conceptual), R (required), Python (a plus, NumPy, pandas, scikit-learn), R Studio & Shiny apps …","Data Scientist, Theatrical Marketing",Culver City, CA
58,Google,"3 years of experience in an analyst role.You will be working to bring together different data sets from across GCP, model data to unlock actionable insights,…","Business Analyst, Engineering Support Analytics, Google Cloud",San Francisco, CA
59,"Resource Systems Group, Inc.","AS A TRAVEL MODELING ANALYST.Your work involves data development, data management, and data analysis using standard databases and GIS, as well as statistical…",Travel Modeling Analyst,San Diego, CA
60,goPuff,"Design/code event, data and ML pipeline features, build data tables and data tools that enable robust business/customer analytics, KPI monitoring, operational…",Data Engineer,San Francisco, CA
61,Flow Labs,"Familiarity with automated data clean-up and end-to-end data analytics.3+ years of experience in data science and/or statistics, using languages such as Python…",Data Scientist,Oakland, CA
62,Trilogy Education Services,Trilogy Education is seeking an experienced Data Analyst who has a passion for teaching individuals how to code.What makes your a great fit (Requirements):,Data Analytics Teaching Assistant - UC San Diego,San Diego, CA
63,Miles,"Experience with messy real-world data -- handling missing/incomplete/inaccurate data.We deal with large volumes of geospatial data, so experience working with…",Data Scientist,Redwood City, CA
64,Retina AI,"As a Data Scientist, you will be working closely with internal data science, product and our engineering team to build scalable data products..",Data Scientist,Santa Monica, CA
65,Beyond Limits,Programming proficiency in Python or R.Our data science team is expanding!Development of data science solutions for industrial projects.,Data Scientist - Generalist,Glendale, CA
66,Earnin,"Some skills we consider critical to being a Principal Data Analyst:4+ years of quantitative analysis using data manipulation tools like SQL, R, Python.",Sr. Manager/ Principal Data Analyst - Risk,Palo Alto, CA
67,Adavance2,"The Data Scientist will be responsible for leveraging their expertise in data processing, statistical modeling, ML, and AI to build product solutions at scale.",Data Scientist,Los Angeles, CA
68,CyberCube Analytics,"Design and build new analytical data models and/or enhance existing data models.As a Data Scientist, you will join our growing analytics & engineering teams to…",Data Scientist,San Francisco, CA
69,Facebook,"We are seeking a Data Scientist to join our AI Data Science and Analytics team, focusing on Machine Translation.This is a very cross-functional role.","Data Scientist, Analytics - Machine Translation",Menlo Park, CA
70,Kinsa Inc.,"Geospatial data processing and visualization.Experience with data in the healthcare sector.You will also help improve the existing Kinsa illness signal,…",Data Scientist,San Francisco, CA
71,ZapLabs LLC,"2-4 years of Data Science/Analytics experience.As a Data Scientist, you’ll be responsible for mastering our data and designing the systems which enable us to…",Data Scientist,Emeryville, CA
72,Tailored Management,"3+ years working as a Marketing Analyst, Data Scientist, or Decision Scientist within Marketing.Masters in above field's or data science preferred.",Marketing Decision Scientist,Menlo Park, CA
73,VSolvit LLC,"Proficiency in using data query languages such as SQL, Hive, Pig, Pandas, MongoDB.Create insights from existing data, and drive the collection of new data.",Data Scientist,Ventura, CA
74,CyberCube,Design and build new analytical data models and/or enhance existing data models.Excellent Python programming skills and experience with major data science…,"Data Scientist San Francisco, CA",San Francisco, CA
75,Cybernetic Search,"Worked with extremely complex data sets.MS in Statistics, Analytics, Data Science or related field (PhD preferred).Passion for Esports and gaming.",Data Scientist,Los Angeles, CA
76,Square,"A strong track record of performing data analysis using Python (numpy, pandas, scikit-learn, etc.).As a Data Scientist within Growth Data Science team, you…","Data Scientist, Growth Data Science",San Francisco, CA
77,RAND Corporation,"Experience and knowledge of programming languages, data analysis packages (e.g., Python, R, SAS, MatLab, Stata, GAMS, SPSS, Hadoop, BigML, Pandas).",Technical Research Analyst,Santa Monica, CA
78,Experian,Designing data structure and data storage schemes for efficient data manipulation and information retrieval.Developing data driven models to quantify the value…,Data Scientist (Machine Learning),San Diego, CA
79,"Green Street Advisors, LLC","Experience with Pandas, Jupyter Notebooks, MySQL, Redshift, AWS Lambda and AWS Data Analytics services considered a plus.",Data Scientist,Newport Beach, CA
80,Vectra,"Vectra directly analyzes network traffic in real time using combination of patent-pending data science, machine learning, and behavioral analysis to detect…",Data Scientist,San Jose, CA
81,Verana Health,"Strong familiarity with health data analytics tools, especially SQL, Python, Pandas.Organize clinical data relationships to create a data model and…",Clinical Data Scientist,San Francisco, CA
82,Affirm,"Experience using frameworks for machine learning and data science like scikit-learn, pandas, numpy, xgboost, TensorFlow.Design experiments and analyze data.",Staff Data Scientist,San Francisco, CA
83,avast software,"Experience with data science toolkits, such as Pandas, scikit-learn, Tensorflow.Scripting and programming skills such as Python.",Senior Data Scientist - Networking (5G,Emeryville, CA
84,Avani Technology Solutions Inc,Performs collaborative work on data science problems and mentor junior data scientists.Experience designing efficient data science workflows and database…,Data Scientist,San Francisco, CA
85,GreatCall,Implement production Python code for products that apply algorithms to data.Perform data exploration to uncover relationships and trends in data.,Data Science Software Engineer,San Diego, CA
86,Appriss,"2+ years as a Data Scientist/Analyst or Data Engineer.Manipulate data from various data sources such as Netezza, Greenplum, SQL Server, raw files, and real…",Software Engineer (Python),Irvine, CA
87,Google,"2 years of experience in analyst role.Write and review technical documents, including requirements and design documents for existing and future data systems,…","Data Science Consultant, Engineering Support Analytics, Google Cloud",San Francisco, CA
88,Gurucul,"Work with large (terabytes of data, billions of daily transactions) structured and unstructured data sets.Gurucul is seeking an innovative analytics thinker…",Sr. Data Scientist,El Segundo, CA
89,Netflix,You love finding the stories buried in data and are able to build insightful tools and data products that enable everyone at Netflix to be an analyst.,Senior Data Visualization Engineer,Los Angeles, CA
90,Asana,"Knowledge of Python and its data analysis libraries (e.g.Exceptional ability to visually present and communicate data, analyses, and findings.",Business Intelligence Analyst - Finance,San Francisco, CA
91,Motor Trend Group,Knowledge of the Python data ecosystem using pandas and numpy.Deliver strong Python and SQL development and maintenance techniques surrounding data movement to…,Business Intelligence Data Engineer,El Segundo, CA
92,Apeel Sciences,"Experience with data science packages is desirable, e.g., Scikit-Learn, Pandas, Numpy, Scipy, TensorFlow, pymc.Unsupervised data analysis (PCA, K-means, etc.);",Senior Data Scientist,Santa Barbara, CA
93,Trilogy Ed,Trilogy Education is seeking an experienced Data Analyst who has a passion for teaching individuals how to code.What makes your a great fit (Requirements):,Data Analytics Teaching Assistant - UC Berkeley (Belmont),Belmont, CA
94,UCLA Health,Experience with healthcare data and/or EHR data is preferred.Demonstrated experience synthesizing and analyzing large data and making program recommendations…,Senior Data Scientist,Los Angeles, CA
95,TAE TECHNOLOGIES,3+ years developing in python.Aid in our efforts to distil raw data into knowledge by iterating with scientific staff and domain experts to convert prototype…,Physics Data Scientist,Foothill Ranch, CA
96,Square,"Python (numpy, pandas, sklearn, xgboost, TensorFlow).Drive cross-functional data science projects from beginning to end:Technologies we use and teach:","Data Science Lead, Operations",San Francisco, CA
97,Zumper,"Experience with common python data science packages such as pandas, numpy, scikit-learn, statsmodels.5+ years of experience in Data Science.",Sr. Data Scientist,San Francisco, CA
98,Tesla,"Experience with data science tools such as Pandas, Numpy, R, Matlab, Octave.Write reproducible data analysis over petabytes of data using cutting-edge open…","Software Engineer / Data Scientist, Fleet Analytics",Palo Alto, CA
99,YouTube,"10 years of relevant work experience in data analysis or related field (e.g., as a statistician / data scientist / computational biologist / bioinformatician).","Data Scientist Technical Lead, YouTube Music",San Bruno, CA
100,"TAE Technologies, Inc.","Experience using common python data analysis and visualization packages such as NumPy, SciPy, Pandas, and Matplotlib.3+ years developing in python.",Physics Data Scientist,Foothill Ranch, CA
101,Apple,"Analytics, statistical analysis, and visualization of data to help understand our data.Partner effectively with engineering partners to meet the data needs of…","Data Science Manager, Health",Santa Clara Valley, CA
102,Ipsos North America,"Manage a team of Senior Data Analysts, Data Analysts and/or Data Associates.5 – 7 years data processing experience.","Manager, Data Processing Operations",Culver City, CA
103,Apple,"Experience with common data science toolkits, such as R, pandas, dplyr, NumPy, etc.Able to understand various data structures and common methods in data…","Sr Data Scientist, Apple Media Products",Santa Clara Valley, CA
104,Google,"Experience with statistical software (e.g., R, Python, MATLAB, pandas) and database languages (e.g., SQL).10 years of relevant experience in data analysis or…",Data Scientist Technical Lead,Mountain View, CA
105,Mission Lane,"Proficiency in Python, scikit-learn, Pandas, NumPy, R, or similar.Cleaning data, building datasets, integrating with machine learning models, performing…",Senior Data Scientist,San Francisco, CA
106,Beyond Limits,"Subsurface, ocean or climate data).Our data science team is expanding!The successful candidate will work with the data science and engineering teams to…",Data Scientist - Statistician,Glendale, CA
107,"ShareThis, Inc",ShareThis is a big data company that owns online behavior data of 1Bn+ users globally and 18Bn+ monthly events.Solid experience with ETL with SQL.,Sr. Data Scientist(NLP),Palo Alto, CA
108,Perceptyx,"Experience with Python, Numpy, Pandas, NLTK/Spacy, Scikit Learn.Applies expertise in Data research, quantitative analysis, qualitative analysis and data…",Senior Research Data Scientist,Temecula, CA
109,Foresite Labs,"Analyze large-scale human genetic and biological data to produce rigorous, reproducible insights.We are looking for data scientists with deep biological…",Biological Data Scientist,San Francisco, CA
110,Facebook,We are looking for an experienced Data Scientist to join the Calibra Data Science team.Statistical modeling and data analysis experience (e.g.,"Data Scientist, Calibra Marketing (Blockchain)",Menlo Park, CA
111,AVAST Software a.s.,"Experience with data science toolkits, such as Pandas, scikit-learn, Tensorflow.Scripting and programming skills such as Python.",Senior Data Scientist - Networking (5G),Emeryville, CA
112,Motif Investing,"As a Senior Data Engineer, you will be a key driver of our data and analytics platform.We combine traditional and non-traditional data sources, containing…",Senior Data Engineer,San Mateo, CA
113,Trilogy Ed,We are looking for an experienced Data Analyst to teach our part time Data Analytics and Visualization class at the University of Southern California.,Data Analytics Instructor - University of Southern California,Los Angeles, CA
114,Apartment List,Assist in building out the team and providing technical mentorship to junior data scientists.The team is going to be critical going forward to helping scale…,Sr. Data Scientist,San Francisco, CA
115,Uber,"Familiarity with technical tools for analysis - Python (with Pandas, etc.), R, SQL, etc.;Prior research, data science, engineering experience in the…",Senior Data Scientist - Uber Eats (SF),San Francisco, CA
