,company_name,job_summary,job_title,City,State
38,Nintendo of America Inc.,Mentors and assists Associate Software Engineers. Proven experience in handling complex systems/processes where analysis of situations or data requires in-depth…,ETL Engineer,Redmond, WA
39,Banfield Pet Hospital,Refine workflow management process with data engineers. The primary purpose and function of the System Analyst Data and Analytics is to serve as the liaison…,"System Analyst, Data & Analytics",Vancouver, WA
40,Nintendo of America Inc.,"Design A/B testing experiments, and do end-to-end data analysis. Use predictive analytics and machine learning techniques to solve data modeling problems.",Engineer (NTD),Redmond, WA
41,Unify Consulting,"5+ years experience in data integration, data warehousing, and data modeling. Https://www.linkedin.com/jobs/cap/view/1248886204/?pathWildcard=1248886204&trk=job…",Data Engineer,Kirkland, WA
42,Oath Inc,Verizon Media Group’s Data Center Operations team includes a group of highly skilled and dedicated Facilities Engineers that perform all electrical and…,Data Center Facilities Engineer 1,Quincy, WA
43,Lydon Solutions,"The Project Data Engineer position is responsible for variety of tasks including assisting our client’s Construction Project Management team in collecting,…",Project Data Engineer,Kennewick, WA
44,Apple,You will engineer distributed data pipelines and use your understanding of data annotation and how it is used in building real world ML models to improve our…,Siri - Data Engineer,Seattle, WA
45,BOEING,"Assists in developing models, data bases and spreadsheets to analyze data (e.g., statistics, operations research, engineering economics), and provides summary…",Industrial Engineer,Everett, WA
46,Avani Systems,"Develop pipelines using copy activity from different sources like FTP, Windows Blob Storage, SQL SERVER, COSMOS big data etc. and scheduling the pipelines as…",Big Data Engineer,Seattle, WA
47,BOEING,"R&M engineer will use modeling, simulation and data analytics methodologies & tools including statistical and spatial Integration analyses.",Entry level Maintainability engineer to,Everett, WA
48,employHER,"Industry experience as a Data Engineer or related specialty (e.g. We are looking for a Data Engineer (BIE) with strong analytical, communication and project…",Data Engineer,Seattle, WA
49,Institute for Systems Biology,"Work as part of a dynamic team of internal and external data scientists, data engineers, biomedical scientists and physicians. Spark and Python, R or Scala.",Software Engineer/Data Scientist,Seattle, WA
50,Tableau,"As the Customer Solutions Data Engineer you will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data…",Customer Solutions Data Engineer,Seattle, WA
51,Amazon.com,"Strong knowledge of data structures, algorithms, operating systems, and/or distributed systems. We’re therefore looking for most talented and innovative…",Software Engineer,Seattle, WA
52,Watson Furniture,This pivotal role leads the team in resolution of CAD data and bill-of-manufacturing issues in the factory. The Watson Engineering Manager ensures the integrity…,Engineering Manager,Poulsbo, WA
53,Nintendo of America Inc.,Detailed design and build of the enterprise data warehouse and data marts from inception through production support.,Senior Data Engineer,Redmond, WA
54,Structured Communication Systems,"The noise level in the data center environment is generally loud. Structured has immediate openings in Clackamas, Oregon and Bellevue, Washington for a Systems…",Systems Engineer – Tier I (Help Desk),Bellevue, WA
55,Homesite Group,"Direct the data layer implementation across the platform and website properties. Implement and manage analytics tools (Primarily Google Analytics 360, Google…",Data Analytic Engineer,Seattle, WA
56,"Highmark Concrete Contractors, LLC.","The Field Engineer assists and supports the Superintendent and Project Engineer on assigned project(s). Project Manager, Project Engineer, Superintendent,…",Field Engineer,Sammamish, WA
57,"Woot, Inc.","This person will build new business intelligence solutions as an owner end-to-end, at the same time, collaborate with data engineers and data scientists to…","Data Engineer II (Woot LLC, Seattle, WA)",Seattle, WA
58,Facebook,"In this role as a Data Engineer on the Analytics team, your primary responsibility will be to partner with key stakeholders, data scientists and software…",Data Engineer,Seattle, WA
59,JNIT TECHNOLOGIES INC,"Big data (Azure preferably, or else Hadoop). Phone to onsite/Skype for out of state. Scala or Spark (Heavy Scripting).",Big Data Engineer,Redmond, WA
60,Google,"From creating experiments and prototyping implementations to designing new architectures, Research Interns and Software Engineers work on challenges in…","Research Intern, 2020",Seattle, WA
61,BOEING,Boeing Commercial Airplane is seeking an Aviation Product Cybersecurity Engineer to join our team. Providing technical data and develop documentation in…,Cybersecurity Engineer - Entry Level,Seattle, WA
62,Quantcast,"As a Software Engineer, you’ll seek significant answers related to Machine Learning, Distributed Storage Systems, Big Data Platforms, API Development and Data…","Software Engineer, New Graduate 2020",Seattle, WA
63,Premera Blue Cross,The Corporate Data and Analytics team is looking to bring on a Data Engineer II . 1-2 years of experience as a Data Engineer I. And so are our employees.,Data Engineer II,Mountlake Terrace, WA
64,Microsoft,The Data Engineering team builds and operates an extensive data platform that associates telemetry and customer contact data.,Software Engineer 2 (Data Engineer),Redmond, WA
65,Zillow,"You will design and develop data visualizations that help us extract key insights from our data, which might otherwise go unnoticed.",Data Visualization Engineer,Seattle, WA
66,Tableau,We help people see and understand their data. Software Engineer Interns work on joint projects with Tableau Software Engineers over a summer or similar time…,Software Engineer Intern (Summer 2020),Seattle, WA
67,Novanta,"TEST ENGINEER – Reach Technology Manufacturing. Works closely with continuous improvement engineer, off-site design engineers, and manufacturing engineering to…",Test Engineer,Mukilteo, WA
68,"University Mechanical Contractors, Inc","Support Lead Engineers on large design projects. During construction, support the Lead Engineer and project management. Review shop drawings and submittals.",Design Engineer,Mukilteo, WA
