,company_name,job_summary,job_title,City,State
39,Confidential,"Leading complex, medium to large scale network implementation projects including LAN, WAN and Data Center architectures. Motivated to meet deadlines on time.",Infrastructure Engineer - Mid-Senior Level,Wickliffe, OH
40,"C2P Enterprises, LLC",Debugging and Optimization of data problems and building data processes that maximize data integrity and usability.,Database Engineer,Westlake, OH
41,Cardinal Health,"Data Analytics Engineer is responsible for understanding, preparing, processing and analyzing data to make data valuable and useful for operations decision…",Data Engineer -- Data Curation,Dublin, OH
42,"OverDrive, Inc.","We’ve adopted other data stores to deal with issues of scale and performance, and to better fit our evolving data models. Work on small projects independently;",Developer I (Software Engineer I),Cleveland, OH
43,American Greetings,"The Data Engineer will support our database architects, data analysts, and data scientists on data initiatives and will ensure optimal data delivery…",Data Engineer,Westlake, OH
44,Goodyear,Work closely with other data scientists to scale up platforms for Big Data across diverse business and manufacturing applications. Ability to convince and lead;,Staff Data Engineer,Akron, OH
45,"Amazon.com Services, Inc.",We are currently seeking an energetic Data Center Project Engineer to serve as a technical resource within Amazon data centers. You think and act globally;,Data Center Project Engineer(Critical Infrastructure),Dublin, OH
46,"Kennametal, Inc.","Data anaylsis and related software (i.e. Manufacturing Engineer, CVD Coating Engineer is responsible for all engineering related aspects of Chemical Vapor…",Manufacturing Engineer - CVD Coatings,Orwell, OH
47,Myriad Genetics,"As an Enterprise Data management (EDM) Data Engineer, you will work alongside a team of Business Intelligence (BI) Analysts to support data acquisition,…",(MW) Data Engineer,Mason, OH
48,Dana Corp.,Write/present reports of test results to internal Application Engineers or others responsible for the program and customers.,NVH Engineer,Ohio,
49,Alpha Technologies Services LLC,"Hands-on experience with testing equipment, data acquisition, data analysis, report preparation and troubleshooting preferred. MS Word and MS PowerPoint).",Applications Engineer,Hudson, OH
50,Cardinal Health,"Data Analytics Engineer is responsible for understanding, preparing, processing and analyzing data to make data valuable and useful for operations decision…",Data Engineer -- Tabular Model,Dublin, OH
51,Emerson,Improve documentation of business logic used within our MFG Data and Data Analytics systems; Work closely with internal MFG customers to understand MFG Data and…,Sr. Manufacturing Software Engineer,Sidney, OH
52,Pythian,"Warehousing, data marts, data lakes). Experience in data management best practices, real-time and batch data integration, and data rationalization.",Big Data Engineer,United States,
53,Technical Assurance,"License Professional Engineer (PE) (Preferred). Technically competent with field data collection tools. Structural Engineer - TechnicalAssurance Inc.*, a…",Structural Engineer,Willoughby, OH
54,Jobot,We are looking for a data engineer to join our team of software engineers that support this e-commerce business unit. What you will be doing:,Data Engineer,Solon, OH
55,Comet Group,We take data protection seriously. The processing of your data complies with general data security standards based on the latest technology.,Applications Engineer,Hudson, OH
56,The Timken Company,"Knowledge of grinding cycle design and optimization, technical support/problem-solving through process development, process modeling, and data analysis skills…",Senior Grinding Process Engineer,North Canton, OH
57,"Honda R&D Americas, Inc.","Data Analytics Engineers are able to summarize and evaluate market data, make conclusions, and support next step direction in terms of problem analysis.",Data Analytics Engineer,Raymond, OH
58,Bridgestone,"Coordinate tire builds, analyze testing data, draw conclusions and make plans to ensure product/technology timelines are met and aligned plans are executed.",Tire Technology Engineer V,Akron, OH
59,Root Insurance Company,"What we look for in senior data infrastructure engineers: Able to positively influence other engineers, both directly and indirectly.",Data Infrastructure Engineer,Columbus, OH
60,American Axle & Manufacturing,"Job Posting Title Industrial Engineer. Verify accuracy of IE data on customer quotes. For over 20 years, customers around the world have entrusted AAM to design…",Industrial Engineer,Twinsburg, OH
61,"AMETEK, Inc.","Ability to define problems, collect data, establish facts, and draw valid conclusions. We are looking for a well-rounded engineer that has demonstrated a high…",Mechanical Engineer,Athens, OH
62,Goodyear,Statistical design & analysis of experimental data. We are looking for an outstanding Associate Development Engineer to join our hands-on team.,Tire Engineer,Akron, OH
63,American Axle & Manufacturing,"For over 20 years, customers around the world have entrusted AAM to design, engineer, validate and manufacture driveline, metal forming, powertrain, and casting…",Assistant Document Control,Twinsburg, OH
64,Lubrizol Corporation,"Data Scientist / Statistician Intern (BS/MS Students). The Statistics & Data Analytics Team. Collaborate with data science team, as well as, scientists and…",Data Scientist/ Statistician Intern (BS/MS Students),Wickliffe, OH
65,"A. Schulman, Inc.",Uses intuition and experience to complement data. The Product and Applications Development (PAD) Engineer will be responsible for the development of new…,Product Application Development Engineer,Akron, OH
66,Airgas Inc.,"Interface internally with Airgas’ regional gas sales team, ESG’s engineering equipment engineers and Airgas’ corporate marketing and strategic account teams.",Applications Engineer,Oakwood Village, OH
67,Swisslog,Swisslog Field Service Engineers are critical to our customer care and support initiatives. Report product quality issues to assigned Senior Field Service…,Field Service Engineer,Toledo, OH
68,"Omega, Inc.","Today we offer 100,000 products for temperature, humidity, pressure, strain, force, flow, level, pH, conductivity, data acquisition, and electric heating.",Manufacturing Engineer,Sunbury, OH
69,NetScout System Inc.,"We are looking for RF Engineers who have experience in radio frequency technologies (LTE, UMTS/GSM, EVDO/CDMA) to assist with our RF data collection projects &…",RF Support Engineer,Cleveland, OH
70,Gooch & Housego (Ohio),"Experimental Design and Data reduction. BS in Physics or related field, MS or higher preferred. Knowledgeable in the use of Test and Measurement equipment.",Product Engineer,Cleveland, OH
71,Cardinal Health,Gather data requirements from business users and stakeholders. Design and build data warehousing solutions based on business needs.,"Engineer, Software Engineering (BI Developer)",Twinsburg, OH
72,Cardinal Health,"Data Analytics Engineer is responsible for understanding, preparing, processing and analyzing data to make data valuable and useful for operations decision…","Advisor, Data Engineer",Dublin, OH
73,Louis Stokes Cleveland VA Medical Center,Constructs mobile applications and integrates information from networks of distributed sensors or other data sources into new medical devices.,Biomedical Software Engineer,Cleveland, OH
74,Comtec Information Systems,Build data ingestion & transformation processes to support industry leading data science applications in predictive modeling and machine learning deployments.,Data Engineer,Cincinnati, OH
75,Lubrizol Corporation,"Mechanical Engineer, Research Engineer, Developer, Engineer, Engineering, Research, Technology. Collect data and assist in interpreting results and provide…",Mechanical Engineer - Research & Development Summer 2020,Wickliffe, OH
76,State of Ohio Jobs,Must operate computer &/or laptop to input & retrieve bridge data. Collects & reviews pertinent data in order to prepare for site inspections.,Bridge Specialist 2 - Cuyahoga County - 20056082,Garfield Heights, OH
77,Giesecke & Devrient,"Is seeking a Product Development Engineer to join our growing team in Twinsburg, OH. The R&D Engineer / Product-Materials Developer will research, develop,…",Product Development Engineer,Twinsburg, OH
78,CT Consultants,"Collection and analysis of data. We are currently looking for a vibrant self-motivated Engineer to join our team. This position is based in Mentor, OH.",Engineer 1,Mentor, OH
79,Affymetrix,"Responsible for data analysis for new product validations, manufacturing scale-up and troubleshooting. Makes/records detailed observations, analyzes data and…",Manufacturing Engineer 1,Cleveland, OH
80,Comet Group,We take data protection seriously. The processing of your data complies with general data security standards based on the latest technology.,Field Service Engineer,Hudson, OH
81,Eagle Composites,"Quality Engineer - Quality Project Leader (QPL). Review SPC data to chart, analyze and implement any corrective actions. Based on major areas of involvement:",Quality Engineer,West Chester, OH
82,Chemstress Consultant Company,The Senior Electrical Engineer is responsible for gathering and analyzing technical data used to prepare basic electrical engineering designs for client…,Senior Electrical Engineer,Akron, OH
83,MEDsys Software Solutions,The ideal Software Automation Engineer is an experienced automation engineer who is passionate about solving challenging business problems and building…,Software Automation Engineer,Toledo, OH
84,Giesecke+Devrient,More than 40 sales and partner offices as well as 20+ certified production and personalization sites and data centers ensure customer proximity worldwide.,Quality Assurance Engineer,Twinsburg, OH
85,Acuative Corporation,"Responsible for design, configuration, implementation, and testing for the data network of our client. Candidate will also work as highest escalation for…",Network Engineer,Strongsville, OH
