company|description|position|reviews|Region|City|State
Alorica||data analyst|0|Midwest|Fargo| ND
SPHERION||data analyst|0|Midwest|Fargo| ND
U.S. Bank||data analyst|0|Midwest|Fargo| ND
North Dakota University System||data scientist|0|Midwest|Grand Forks| ND
North Dakota University System||data scientist|0|Midwest|Grand Forks| ND
